ID,Ingredients,Cuisine
1,"vidalia onion, freshly ground black pepper, fresh cilantro, garlic, lime juice, ground coriander, boneless skinless chicken breast, ground ginger, kosher salt, brown sugar, Thai red curry paste, coconut milk, fresh spinach leaves, shredded carrots, rice, coconut oil",Thai
2,"soy sauce, apple cider vinegar, brown sugar, creamy peanut butter, coconut milk, Thai red curry paste, fresh lime juice",Thai
3,"shallots, soy sauce, chilies, garlic, ground chicken, fish sauce, oil, low sodium chicken broth, thai basil leaves, sugar",Thai
4,"peanuts, vegetable broth, coconut oil, fresh cilantro, garlic, Thai red curry paste, ginger, rice noodles, green onions, lime juice, red chilies, water, coconut milk",Thai
5,"water, white vinegar, creamy peanut butter, sesame oil, red curry paste, low sodium soy sauce, sugar, coconut milk",Thai
6,"green onions, coconut milk, ginger, cooked chicken, lemon, sea salt, chopped cilantro, chile flakes, chicken broth",Thai
7,"red bell pepper, brown sugar, vegetable oil, red jalapeno pepper, onion, jumbo shrimp, green onion, ground ginger, yellow bell pepper, lime juice, cilantro, kosher salt, fish sauce, peanut butter, coconut milk, orange bell pepper, basil leaves, garlic, red chili flakes",Thai
8,"water, salt, jasmine rice, lite coconut milk, fresh cilantro, lemongrass stalks, pepper",Thai
9,"coconut milk, bamboo shoots, white sugar, red chilli, Thai Kitchen Red Curry Paste, kaffir lime leaves, chicken breast, vegetable oil",Thai
10,"boneless skinless chicken breasts, brown rice, coconut oil, leek, ground black pepper, fresh cilantro, kosher salt, fresh ginger, red curry paste, full fat coconut milk, garlic, red bell pepper",Thai
11,"tiger prawns, lemongrass, vegetable oil, red chillies, ground turmeric, fresh coriander, coriander seeds, coconut milk, garlic cloves, Thai fish sauce, rice noodles, vegetable stock, fresh root ginger",Thai
12,"fish sauce, red chillies, dark brown sugar, garlic, kaffir lime leaves, yellow pepper, boneless skinless chicken breasts, ginger, Sriracha, lemongrass, red pepper, fish sauce, vegetable oil, spring onions, cremini mushrooms, basil leaves, unsweetened coconut milk, vegetable oil",Thai
13,"soy sauce, dark soy sauce, cornstarch, thai basil leaves, garlic, beef, red bell pepper, fish sauce, oyster sauce, sugar, small onion, cilantro, oil",Thai
14,"lime, basil, olive oil, serrano chile, red bell pepper, Thai basil, yellow bell pepper, beef broth, kosher salt, red curry paste, mint, beef, garlic, coconut milk, ginger root, brown sugar, cashews",Thai
15,"green onions, brown sugar, chopped cilantro, red curry paste, red curry paste, pepper, egg, salt, fish sauce, chili flakes, ground chicken, coconut milk, breadcrumbs, pepper, peanut butter, salt, sesame oil",Thai
