ID,Ingredients,Cuisine
1,"coriander leaves, butter, baking powder, salt, curd, butter, maida, garlic paste",Indian
2,"ginger, vegetable oil, salt, garlic, peas, green chilli, tomato, garam masala powder, fresh coriander, coriander powder, turmeric powder, paneer, cumin powder, chilli powder, onion",Indian
3,"chickpeas, coconut oil, garlic, fresh spinach, ginger, curry powder, yellow onion, chopped fresh cilantro, crushed tomatoes, coconut milk",Indian
4,"vegetable oil, long-grain rice, garam masala, salt, onion, frozen peas, turmeric",Indian
5,"black tea, whole milk, cinnamon stick, fresh ginger, water, granulated sugar, cardamom pods, fennel seeds",Indian
6,"salt, ginger, coconut milk, large onion, garlic, ground cloves, coriander powder, diced tomatoes, vegetable oil, red bell pepper, cayenne pepper, Garam Masala, chickpeas, turmeric, mustard seeds, ground cardamom",Indian
7,"curry powder, yogurt, coriander powder, oil, red chili powder, cream, salted butter, paneer, medium tomatoes, ginger, Garam Masala, finely chopped garlic, cumin seeds, cilantro leaves, garlic cloves, salt, sugar, water, ginger, cinnamon stick, paprika powder, salt, onion",Indian
8,"salt, turmeric powder, extra firm tofu, red chili powder, red food color, curry powder, oil, lemon juice",Indian
9,"russet potatoes, chaat masala, baby potatoes, coriander leaves, yogurt, chilli powder, coriander powder, cumin seeds, salt",Indian
10,"fresh ginger, salt, ground turmeric, Garam Masala, small onion, green chillies, cumin seeds, chana dal, tomatoes, vegetable oil, coriander leaves, freshly ground black pepper, garlic cloves, ground coriander",Indian
11,"crushed tomatoes, cumin, garlic, salt, small onion, turmeric, 1% milk, canola oil, boneless chicken breasts, fresh cilantro, fresh ginger, chili powder, Garam Masala, fat free yogurt",Indian
12,"green chilies, salt, salt, oil, cucumber, peanuts, oil, cilantro, cilantro, green chilies, cumin seeds, cucumber, cumin seeds, peanuts",Indian
13,"curry powder, creamy almond butter, ground cumin, full fat coconut milk, fresh turmeric, crushed tomatoes, ground coriander, fresh ginger, basmati rice, naan bread, Garam Masala, garlic, kosher salt, fresh cilantro, cracked black pepper, lemon, low sodium vegetable broth, cayenne pepper, serrano peppers, chili powder, red lentils, coconut oil",Indian
14,"minced ginger, tandoori spice blend, salt, garlic cloves, plain yogurt, lemon",Indian
