ID,Ingredients,Cuisine
1,"garlic cloves, mozzarella cheese, fresh parsley, extra-virgin olive oil, Italian bread, pepper, grated Parmesan cheese, salt",Italian
2,"pancetta, basil, pepper, spaghetti, large egg yolks, half and half, Parmesan cheese",Italian
3,"onion, parsley, baby bella mushrooms, pepper, salt, red bell pepper, Italian dressing",Italian
4,"balsamic vinegar, olive oil, garlic cloves, kosher salt, crushed tomatoes, fresh basil leaves",Italian
5,"yeast, strong white bread flour, olive oil, salt, cold water, olive oil, fine sea salt",Italian
6,"romano cheese, mozzarella cheese, Alfredo sauce, garlic, Fontina cheese, ricotta cheese, marinara sauce, Parmesan cheese, panko breadcrumbs, pasta",Italian
7,"mozzarella cheese, olive oil, elbow macaroni, Tyson® Frozen Boneless Skinless Chicken Breasts, butter, onion, diced tomatoes, kosher salt, parsley, garlic, bread crumbs, ground black pepper, Parmesan cheese",Italian
8,"pasta, minced garlic, salt, oil-packed sun-dried tomatoes, shredded Parmesan cheese, fresh basil, light cream cheese, baby spinach, Italian seasoning, boneless skinless chicken breasts, low sodium chicken broth, freshly ground black pepper",Italian
9,"extra virgin olive oil, fresh basil leaves, lemon, pine nuts, garlic, grated Parmesan cheese",Italian
10,"whipping cream, potato gnocchi, garlic, grated Parmesan cheese, italian sausage, diced tomatoes, small onion, fresh basil, pepper, salt, dry white wine",Italian
11,"fresh basil leaves, grated Parmesan cheese, garlic cloves, pine nuts, extra-virgin olive oil",Italian
12,"spinach, olive oil, sun dried tomatoes, olive oil, capers, italian seasoning, artichoke hearts, ravioli",Italian
13,"black pepper, salt, garlic powder, extra virgin olive oil, boneless beef bottom round roast, Italian herb seasoning",Italian
14,"salt, crushed red pepper, fresh parsley, olive oil, baby spinach, spaghetti, garlic, grated Parmesan cheese, crimini mushrooms, black pepper",Italian
15,"shredded mozzarella cheese, Hillshire Farm® Smoked Sausage, red bell pepper, prepared tomato sauce, yellow onion, hoagie buns",Italian
16,"fresh basil, olive oil, crushed tomatoes, large egg, black pepper, kosher salt, part skim ricotta, parmigiano reggiano, garlic, mozzarella cheese, zucchini, onion, lean ground beef",Italian
17,"pecorino romano cheese, salt, unsalted butter, spaghetti, freshly ground black pepper, extra-virgin olive oil",Italian
18,"ground Italian sausage, ricotta, gnocchi, fennel seeds, marinara sauce, fresh parsley, mozzarella, salt",Italian
19,"penne, garlic, red pepper flakes, olive oil, Parmesan cheese, whole peeled tomatoes, basil",Italian
20,"red pepper flakes, olive oil, fresh oregano, fresh basil, pepper, garlic cloves, mini bell peppers, red onion, salt",Italian
21,"mozzarella, freshly grated Parmesan, basil leaves, globe eggplant, olive oil, dried oregano, hot red pepper flakes, salt, petite diced tomatoes, virgin olive oil, large garlic cloves, italian seasoning, italian seasoning",Italian
22,"dried porcini mushrooms, salt, freshly ground black pepper, chestnut mushrooms, freshly grated Parmesan, onion, olive oil, arborio rice, dry white wine, butter, fresh parsley, vegetable stock, garlic cloves",Italian
23,"water, salt, egg, breadcrumbs, eggs, pepper, pecorino romano cheese, parsley, flour, olive oil, potatoes",Italian
24,"Italian seasoning, fresh parsley, pepper, garlic, olive oil, salt, cauliflower, tomatoes, cremini mushrooms",Italian
25,"pine nuts, extra virgin olive oil, grated Parmesan cheese, salt, garlic, basil leaves",Italian
26,"garlic powder, black pepper, fresh mozzarella, marinara sauce, spaghetti, Italian seasoning, grated Parmesan cheese, low-moisture ricotta cheese, salt, provolone cheese",Italian
27,"grilled chicken, pesto, shredded mozzarella cheese, olive oil, dough, artichokes",Italian
28,"Italian seasoning, Hillshire Farm® Lit'l Smokies Smoked Sausage, refrigerated crescent rolls, pizza sauce, sliced provolone cheese",Italian
29,"spinach, italian seasoning, Parmesan cheese, olive oil, chicken broth, boneless skinless chicken breasts, heavy cream, sun dried tomatoes, garlic powder",Italian
30,"extra virgin olive oil, Tuscan kale, grape tomatoes, balsamic vinegar, garlic",Italian
31,"red pepper flakes, onion powder, olive oil, garlic powder, sugar, dried parsley, dried oregano, salt, dried thyme, red wine vinegar, black pepper",Italian
32,"baby bella mushrooms, pizza sauce, egg, shredded mozzarella cheese, dried basil, kosher salt, olive oil, baby spinach leaves, pizza dough, garlic cloves, Parmesan cheese",Italian
33,"rotini, italian sausage, ricotta cheese, zucchini, red bell pepper, Parmesan cheese, dried herbs, olive oil",Italian
34,"Nestle Carnation Evaporated Milk, garlic powder, Italian cheese blend, penne pasta, dried basil, sun-dried tomatoes, ground black pepper",Italian
35,"Italian plum tomatoes, extra virgin olive oil, Aidells® Chicken Meatballs, Italian Style with Mozzarella Cheese, salt, sugar, garlic, italian sandwich rolls, freshly ground black pepper, basil, onion, provolone cheese",Italian
36,"cracked black pepper, Italian breadcrumbs, large egg, small yellow onion, fresh basil, grated Parmesan cheese, garlic cloves, kosher salt, marinara, fresh parsley, fresh rosemary, lean ground beef",Italian
37,"dried rosemary, onion, red pepper flakes, red wine, pork neck bones, Parmesan cheese, crushed tomatoes, ground beef, italian seasonings, tomato sauce, garlic, tomato paste, salt, water, carrot, pepper",Italian
